time_h,treatment,minerva_row,minerva_col,source_plate,source_well,source_field
0,PBS,1,1,1,D10,4
0,HGF,1,2,1,D05,4
0,OSM,1,3,1,D06,4
0,EGF,1,4,1,D04,4
0,BMP2,1,5,1,D08,4
0,IFNG,1,6,1,D07,4
0,TGFB,1,7,1,D09,4
1,PBS,2,1,2,D10,4
1,HGF,2,2,2,D05,4
1,OSM,2,3,2,D06,4
1,EGF,2,4,2,D04,4
1,BMP2,2,5,2,D08,4
1,IFNG,2,6,2,D07,4
1,TGFB,2,7,2,D09,4
4,PBS,3,1,3,D10,4
4,HGF,3,2,3,D05,4
4,OSM,3,3,3,D06,4
4,EGF,3,4,3,D04,4
4,BMP2,3,5,3,D08,4
4,IFNG,3,6,3,D07,4
4,TGFB,3,7,3,D09,4
8,PBS,4,1,4,D10,4
8,HGF,4,2,4,D05,4
8,OSM,4,3,4,D06,4
8,EGF,4,4,4,D04,4
8,BMP2,4,5,4,D08,4
8,IFNG,4,6,4,D07,4
8,TGFB,4,7,4,D09,4
24,PBS,5,1,5,D10,4
24,HGF,5,2,5,D05,4
24,OSM,5,3,5,D06,4
24,EGF,5,4,5,D04,4
24,BMP2,5,5,5,D08,4
24,IFNG,5,6,5,D07,4
24,TGFB,5,7,5,D09,4
48,PBS,6,1,6,D10,4
48,HGF,6,2,6,D05,4
48,OSM,6,3,6,D06,4
48,EGF,6,4,6,D04,4
48,BMP2,6,5,6,D08,4
48,IFNG,6,6,6,D07,4
48,TGFB,6,7,6,D09,4